IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.143.214,4,4,0.00,157.62,0.00
172.64.40.194,4,4,0.00,160.71,0.00
172.64.137.176,4,4,0.00,161.72,0.00
172.64.172.91,4,4,0.00,168.58,0.00
172.64.165.53,4,4,0.00,168.58,0.00
172.67.38.163,4,4,0.00,175.95,0.00
172.67.252.40,4,4,0.00,189.97,0.00
104.21.127.242,4,4,0.00,193.70,0.00
172.65.10.219,4,4,0.00,195.39,0.00
172.65.40.151,4,4,0.00,197.68,0.00
172.65.3.106,4,4,0.00,200.26,0.00
172.65.28.102,4,4,0.00,200.27,0.00
172.67.213.93,4,4,0.00,200.30,0.00
104.21.205.116,4,4,0.00,202.62,0.00
172.67.247.14,4,4,0.00,203.28,0.00
104.21.124.195,4,4,0.00,204.49,0.00
172.67.137.40,4,4,0.00,204.83,0.00
172.65.16.220,4,4,0.00,204.89,0.00
172.67.145.186,4,4,0.00,205.06,0.00
172.67.249.100,4,4,0.00,205.84,0.00
172.67.153.211,4,4,0.00,206.05,0.00
172.67.189.241,4,4,0.00,206.35,0.00
172.67.146.94,4,4,0.00,207.06,0.00
172.65.19.121,4,4,0.00,207.08,0.00
172.67.172.231,4,4,0.00,207.25,0.00
172.67.245.204,4,4,0.00,207.60,0.00
172.67.232.122,4,4,0.00,207.72,0.00
172.65.35.179,4,4,0.00,207.85,0.00
104.21.115.182,4,4,0.00,208.12,0.00
172.67.201.151,4,4,0.00,208.61,0.00
172.67.182.125,4,4,0.00,209.22,0.00
172.65.41.21,4,4,0.00,209.54,0.00
172.65.58.201,4,4,0.00,209.67,0.00
104.21.116.160,4,4,0.00,209.73,0.00
172.67.222.157,4,4,0.00,209.78,0.00
172.67.239.12,4,4,0.00,210.04,0.00
172.65.43.25,4,4,0.00,210.69,0.00
172.67.200.89,4,4,0.00,210.76,0.00
172.65.51.249,4,4,0.00,210.78,0.00
172.65.61.185,4,4,0.00,210.79,0.00
172.67.128.163,4,4,0.00,210.83,0.00
172.65.7.185,4,4,0.00,210.99,0.00
172.65.36.83,4,4,0.00,211.94,0.00
172.65.209.26,4,4,0.00,211.96,0.00
172.65.170.131,4,4,0.00,212.53,0.00
172.67.226.135,4,4,0.00,212.54,0.00
172.65.11.244,4,4,0.00,212.64,0.00
172.67.152.38,4,4,0.00,212.96,0.00
172.65.190.82,4,4,0.00,212.97,0.00
104.21.105.166,4,4,0.00,213.13,0.00
172.67.254.231,4,4,0.00,213.18,0.00
104.21.125.99,4,4,0.00,213.21,0.00
172.67.167.184,4,4,0.00,213.34,0.00
104.21.212.200,4,4,0.00,213.65,0.00
172.65.20.182,4,4,0.00,213.91,0.00
104.23.140.22,4,4,0.00,214.75,0.00
104.24.21.97,4,4,0.00,214.81,0.00
104.21.193.228,4,4,0.00,214.90,0.00
104.21.209.236,4,4,0.00,214.92,0.00
172.65.33.8,4,4,0.00,215.01,0.00
104.26.15.73,4,4,0.00,215.14,0.00
104.21.111.160,4,4,0.00,215.19,0.00
104.26.11.195,4,4,0.00,215.51,0.00
172.65.1.9,4,4,0.00,215.74,0.00
104.24.218.116,4,4,0.00,215.76,0.00
172.65.75.135,4,4,0.00,215.83,0.00
172.65.166.217,4,4,0.00,215.84,0.00
104.24.148.235,4,4,0.00,215.87,0.00
172.67.58.73,4,4,0.00,215.90,0.00
172.65.183.197,4,4,0.00,215.91,0.00
104.24.94.0,4,4,0.00,216.19,0.00
104.25.35.205,4,4,0.00,216.25,0.00
104.27.107.253,4,4,0.00,216.35,0.00
172.65.99.113,4,4,0.00,216.42,0.00
172.65.56.51,4,4,0.00,216.54,0.00
104.24.16.163,4,4,0.00,216.57,0.00
172.67.8.64,4,4,0.00,216.58,0.00
172.66.170.46,4,4,0.00,216.72,0.00
104.25.235.139,4,4,0.00,216.77,0.00
172.65.4.239,4,4,0.00,216.89,0.00
104.24.177.159,4,4,0.00,216.95,0.00
104.24.153.149,4,4,0.00,217.02,0.00
104.21.203.202,4,4,0.00,217.05,0.00
104.27.36.138,4,4,0.00,217.08,0.00
172.67.70.113,4,4,0.00,217.13,0.00
104.21.123.235,4,4,0.00,217.21,0.00
172.65.34.94,4,4,0.00,217.24,0.00
104.25.104.199,4,4,0.00,217.44,0.00
172.67.147.121,4,4,0.00,217.52,0.00
104.27.120.30,4,4,0.00,217.52,0.00
172.67.191.57,4,4,0.00,217.83,0.00
172.65.2.20,4,4,0.00,217.85,0.00
172.67.251.38,4,4,0.00,217.85,0.00
104.25.118.88,4,4,0.00,217.88,0.00
172.65.26.122,4,4,0.00,217.92,0.00
104.25.83.33,4,4,0.00,218.21,0.00
104.25.226.104,4,4,0.00,218.49,0.00
104.21.13.214,4,4,0.00,218.51,0.00
172.67.94.199,4,4,0.00,218.53,0.00
172.67.246.67,4,4,0.00,218.59,0.00
172.65.161.235,4,4,0.00,218.65,0.00
172.67.154.97,4,4,0.00,218.72,0.00
104.27.89.93,4,4,0.00,218.77,0.00
172.64.232.97,4,4,0.00,219.17,0.00
104.24.79.0,4,4,0.00,219.22,0.00
104.23.124.111,4,4,0.00,219.37,0.00
104.24.254.181,4,4,0.00,219.42,0.00
104.26.2.102,4,4,0.00,219.43,0.00
172.65.109.162,4,4,0.00,219.44,0.00
104.23.137.170,4,4,0.00,219.46,0.00
104.24.55.44,4,4,0.00,219.54,0.00
104.27.35.103,4,4,0.00,219.54,0.00
104.24.146.92,4,4,0.00,219.56,0.00
172.66.205.242,4,4,0.00,219.67,0.00
104.24.34.231,4,4,0.00,219.82,0.00
104.22.46.249,4,4,0.00,219.87,0.00
104.26.4.248,4,4,0.00,220.12,0.00
172.65.129.201,4,4,0.00,220.18,0.00
172.66.208.108,4,4,0.00,220.18,0.00
104.23.101.144,4,4,0.00,220.19,0.00
172.67.103.200,4,4,0.00,220.20,0.00
104.25.115.26,4,4,0.00,220.22,0.00
104.26.12.130,4,4,0.00,220.22,0.00
172.67.48.200,4,4,0.00,220.32,0.00
172.65.119.198,4,4,0.00,220.41,0.00
104.24.204.246,4,4,0.00,220.45,0.00
172.67.79.218,4,4,0.00,220.48,0.00
104.25.137.127,4,4,0.00,220.52,0.00
172.66.216.251,4,4,0.00,220.72,0.00
104.25.39.38,4,4,0.00,220.73,0.00
104.25.66.165,4,4,0.00,220.77,0.00
104.22.67.183,4,4,0.00,220.90,0.00
104.24.199.14,4,4,0.00,220.94,0.00
104.25.231.168,4,4,0.00,221.04,0.00
104.25.139.87,4,4,0.00,221.07,0.00
104.23.116.62,4,4,0.00,221.09,0.00
104.25.112.240,4,4,0.00,221.21,0.00
104.23.100.70,4,4,0.00,221.22,0.00
172.67.64.87,4,4,0.00,221.23,0.00
104.24.31.231,4,4,0.00,221.23,0.00
104.24.10.156,4,4,0.00,221.30,0.00
104.27.103.225,4,4,0.00,221.33,0.00
104.25.1.220,4,4,0.00,221.36,0.00
172.66.150.252,4,4,0.00,221.39,0.00
104.25.34.82,4,4,0.00,221.56,0.00
104.27.27.95,4,4,0.00,221.60,0.00
172.65.134.63,4,4,0.00,221.64,0.00
104.26.3.85,4,4,0.00,221.64,0.00
104.24.36.150,4,4,0.00,221.68,0.00
104.23.142.181,4,4,0.00,221.83,0.00
172.65.100.160,4,4,0.00,221.84,0.00
172.65.98.125,4,4,0.00,221.89,0.00
104.26.14.53,4,4,0.00,222.03,0.00
104.24.240.135,4,4,0.00,222.05,0.00
104.23.119.35,4,4,0.00,222.08,0.00
172.66.210.9,4,4,0.00,222.13,0.00
172.67.121.86,4,4,0.00,222.16,0.00
104.27.108.57,4,4,0.00,222.21,0.00
104.24.141.105,4,4,0.00,222.24,0.00
172.65.178.90,4,4,0.00,222.35,0.00
104.27.5.59,4,4,0.00,222.38,0.00
104.24.231.252,4,4,0.00,222.39,0.00
104.24.32.54,4,4,0.00,222.45,0.00
104.25.173.103,4,4,0.00,222.51,0.00
104.25.64.176,4,4,0.00,222.55,0.00
104.27.4.253,4,4,0.00,222.56,0.00
172.66.215.161,4,4,0.00,222.60,0.00
172.67.61.87,4,4,0.00,222.62,0.00
172.66.176.62,4,4,0.00,222.67,0.00
104.24.239.31,4,4,0.00,222.69,0.00
104.27.54.145,4,4,0.00,222.75,0.00
104.24.29.242,4,4,0.00,222.80,0.00
172.65.167.2,4,4,0.00,222.90,0.00
104.27.63.131,4,4,0.00,223.01,0.00
172.65.38.56,4,4,0.00,223.12,0.00
172.65.189.16,4,4,0.00,223.12,0.00
104.25.249.198,4,4,0.00,223.15,0.00
104.24.3.86,4,4,0.00,223.17,0.00
104.27.81.184,4,4,0.00,223.26,0.00
104.27.24.55,4,4,0.00,223.26,0.00
104.27.12.62,4,4,0.00,223.28,0.00
104.24.70.110,4,4,0.00,223.29,0.00
104.23.97.231,4,4,0.00,223.30,0.00
172.66.149.153,4,4,0.00,223.34,0.00
104.26.9.162,4,4,0.00,223.52,0.00
104.27.117.38,4,4,0.00,223.55,0.00
104.24.54.224,4,4,0.00,223.56,0.00
172.66.163.245,4,4,0.00,223.59,0.00
104.27.201.240,4,4,0.00,223.60,0.00
104.27.29.25,4,4,0.00,223.62,0.00
104.24.226.213,4,4,0.00,223.67,0.00
172.66.211.100,4,4,0.00,223.70,0.00
172.65.42.115,4,4,0.00,223.70,0.00
172.66.213.144,4,4,0.00,223.75,0.00
104.24.147.251,4,4,0.00,223.86,0.00
104.27.28.124,4,4,0.00,223.89,0.00
104.25.114.69,4,4,0.00,224.09,0.00
172.67.55.113,4,4,0.00,224.11,0.00
104.23.106.18,4,4,0.00,224.11,0.00
104.27.34.10,4,4,0.00,224.13,0.00
104.27.192.18,4,4,0.00,224.19,0.00
104.25.77.167,4,4,0.00,224.25,0.00
104.27.50.52,4,4,0.00,224.33,0.00
104.27.31.102,4,4,0.00,224.42,0.00
104.24.25.131,4,4,0.00,224.44,0.00
172.66.152.67,4,4,0.00,224.56,0.00
104.25.243.86,4,4,0.00,224.62,0.00
104.25.6.147,4,4,0.00,224.66,0.00
104.25.78.212,4,4,0.00,224.76,0.00
104.27.45.129,4,4,0.00,224.83,0.00
172.66.159.111,4,4,0.00,224.85,0.00
172.67.2.215,4,4,0.00,224.89,0.00
172.65.136.123,4,4,0.00,224.94,0.00
104.25.93.150,4,4,0.00,225.02,0.00
104.24.23.33,4,4,0.00,225.03,0.00
104.27.61.143,4,4,0.00,225.05,0.00
172.67.9.49,4,4,0.00,225.06,0.00
104.25.166.226,4,4,0.00,225.09,0.00
104.27.200.70,4,4,0.00,225.13,0.00
104.27.47.151,4,4,0.00,225.14,0.00
172.66.169.94,4,4,0.00,225.19,0.00
104.24.224.29,4,4,0.00,225.29,0.00
104.27.10.6,4,4,0.00,225.29,0.00
104.27.25.45,4,4,0.00,225.30,0.00
104.27.101.189,4,4,0.00,225.33,0.00
172.65.187.13,4,4,0.00,225.33,0.00
104.24.163.32,4,4,0.00,225.34,0.00
172.67.63.221,4,4,0.00,225.36,0.00
104.24.132.229,4,4,0.00,225.39,0.00
172.67.4.117,4,4,0.00,225.48,0.00
104.24.2.192,4,4,0.00,225.49,0.00
104.27.113.26,4,4,0.00,225.52,0.00
104.25.123.42,4,4,0.00,225.67,0.00
104.27.3.176,4,4,0.00,225.78,0.00
104.25.109.64,4,4,0.00,225.79,0.00
104.27.82.156,4,4,0.00,225.80,0.00
172.67.80.69,4,4,0.00,225.82,0.00
172.66.164.246,4,4,0.00,225.82,0.00
104.22.74.48,4,4,0.00,225.85,0.00
172.66.162.67,4,4,0.00,225.97,0.00
104.24.170.200,4,4,0.00,226.10,0.00
104.25.108.13,4,4,0.00,226.10,0.00
104.24.181.2,4,4,0.00,226.23,0.00
104.25.36.185,4,4,0.00,226.31,0.00
104.24.172.98,4,4,0.00,226.37,0.00
172.65.70.234,4,4,0.00,226.37,0.00
172.66.207.102,4,4,0.00,226.40,0.00
104.27.66.12,4,4,0.00,226.64,0.00
104.23.99.80,4,4,0.00,226.65,0.00
104.27.193.67,4,4,0.00,226.65,0.00
172.67.53.69,4,4,0.00,226.66,0.00
104.27.109.215,4,4,0.00,226.70,0.00
172.66.145.6,4,4,0.00,226.78,0.00
104.25.252.224,4,4,0.00,226.78,0.00
104.23.96.246,4,4,0.00,226.84,0.00
104.25.32.103,4,4,0.00,226.84,0.00
172.66.173.81,4,4,0.00,226.98,0.00
104.23.102.36,4,4,0.00,227.00,0.00
104.25.113.50,4,4,0.00,227.16,0.00
172.67.7.243,4,4,0.00,227.22,0.00
104.27.118.2,4,4,0.00,227.23,0.00
104.24.167.116,4,4,0.00,227.27,0.00
104.25.98.175,4,4,0.00,227.28,0.00
104.22.71.125,4,4,0.00,227.49,0.00
104.24.0.39,4,4,0.00,227.58,0.00
172.66.168.31,4,4,0.00,227.58,0.00
104.26.6.144,4,4,0.00,227.64,0.00
104.25.164.164,4,4,0.00,227.77,0.00
104.23.138.232,4,4,0.00,227.86,0.00
104.23.125.223,4,4,0.00,227.92,0.00
104.27.32.48,4,4,0.00,227.93,0.00
104.25.85.67,4,4,0.00,227.93,0.00
172.66.212.239,4,4,0.00,227.95,0.00
104.27.52.191,4,4,0.00,228.00,0.00
104.25.27.85,4,4,0.00,228.02,0.00
104.22.2.65,4,4,0.00,228.04,0.00
172.64.236.99,4,4,0.00,228.07,0.00
104.25.245.252,4,4,0.00,228.10,0.00
104.24.164.144,4,4,0.00,228.14,0.00
104.25.111.216,4,4,0.00,228.14,0.00
172.66.144.0,4,4,0.00,228.15,0.00
104.24.249.199,4,4,0.00,228.25,0.00
172.65.116.222,4,4,0.00,228.27,0.00
172.66.157.253,4,4,0.00,228.27,0.00
172.64.78.38,4,4,0.00,228.49,0.00
172.67.75.57,4,4,0.00,228.50,0.00
104.24.81.62,4,4,0.00,228.60,0.00
104.25.116.2,4,4,0.00,228.64,0.00
104.25.163.31,4,4,0.00,228.72,0.00
104.24.27.125,4,4,0.00,228.74,0.00
172.67.148.233,4,4,0.00,228.77,0.00
104.25.183.3,4,4,0.00,228.77,0.00
104.27.13.11,4,4,0.00,228.78,0.00
104.24.223.203,4,4,0.00,228.79,0.00
172.65.68.111,4,4,0.00,228.82,0.00
104.27.126.175,4,4,0.00,228.98,0.00
172.65.188.63,4,4,0.00,229.02,0.00
104.24.150.101,4,4,0.00,229.02,0.00
104.25.97.247,4,4,0.00,229.12,0.00
104.24.49.110,4,4,0.00,229.13,0.00
104.27.207.102,4,4,0.00,229.21,0.00
104.23.133.224,4,4,0.00,229.25,0.00
172.65.69.48,4,4,0.00,229.39,0.00
104.24.173.58,4,4,0.00,229.48,0.00
172.67.106.143,4,4,0.00,229.51,0.00
172.67.73.160,4,4,0.00,229.58,0.00
104.25.127.214,4,4,0.00,229.60,0.00
172.65.106.174,4,4,0.00,229.69,0.00
104.25.7.118,4,4,0.00,229.77,0.00
172.66.160.103,4,4,0.00,229.78,0.00
104.24.63.230,4,4,0.00,229.79,0.00
172.67.0.172,4,4,0.00,229.81,0.00
104.27.67.135,4,4,0.00,229.94,0.00
104.25.230.172,4,4,0.00,230.02,0.00
104.27.44.185,4,4,0.00,230.03,0.00
172.66.146.249,4,4,0.00,230.09,0.00
104.24.5.32,4,4,0.00,230.15,0.00
104.27.111.65,4,4,0.00,230.21,0.00
172.67.105.167,4,4,0.00,230.21,0.00
172.67.3.103,4,4,0.00,230.39,0.00
104.24.165.40,4,4,0.00,230.41,0.00
172.65.172.90,4,4,0.00,230.42,0.00
172.66.209.195,4,4,0.00,230.64,0.00
104.23.130.147,4,4,0.00,230.67,0.00
104.24.76.100,4,4,0.00,230.68,0.00
104.27.2.71,4,4,0.00,230.72,0.00
104.27.15.141,4,4,0.00,230.91,0.00
104.24.1.152,4,4,0.00,230.93,0.00
104.25.22.100,4,4,0.00,230.93,0.00
104.23.121.114,4,4,0.00,230.93,0.00
104.24.68.21,4,4,0.00,230.95,0.00
104.27.123.198,4,4,0.00,230.97,0.00
104.27.88.253,4,4,0.00,231.01,0.00
172.66.177.70,4,4,0.00,231.09,0.00
172.66.196.50,4,4,0.00,231.11,0.00
172.66.156.81,4,4,0.00,231.12,0.00
104.25.0.153,4,4,0.00,231.16,0.00
172.65.108.199,4,4,0.00,231.19,0.00
104.25.92.252,4,4,0.00,231.28,0.00
172.67.69.215,4,4,0.00,231.39,0.00
104.23.104.65,4,4,0.00,231.39,0.00
104.24.247.223,4,4,0.00,231.39,0.00
104.27.0.3,4,4,0.00,231.46,0.00
104.25.205.59,4,4,0.00,231.53,0.00
172.66.154.85,4,4,0.00,231.58,0.00
104.25.55.35,4,4,0.00,231.67,0.00
172.66.161.11,4,4,0.00,231.69,0.00
172.65.114.14,4,4,0.00,231.82,0.00
172.66.199.59,4,4,0.00,232.08,0.00
172.65.104.151,4,4,0.00,232.11,0.00
172.67.1.11,4,4,0.00,232.38,0.00
104.27.206.40,4,4,0.00,232.43,0.00
172.66.175.147,4,4,0.00,232.91,0.00
104.24.28.214,4,4,0.00,232.93,0.00
172.66.165.89,4,4,0.00,232.98,0.00
172.66.158.233,4,4,0.00,233.06,0.00
172.67.14.158,4,4,0.00,233.30,0.00
172.66.153.56,4,4,0.00,233.32,0.00
104.27.102.55,4,4,0.00,233.59,0.00
172.66.147.24,4,4,0.00,233.68,0.00
104.26.7.240,4,4,0.00,233.82,0.00
172.65.182.10,4,4,0.00,233.84,0.00
104.27.1.67,4,4,0.00,233.87,0.00
104.24.222.175,4,4,0.00,233.88,0.00
104.27.58.126,4,4,0.00,234.03,0.00
104.24.20.20,4,4,0.00,234.19,0.00
104.24.40.57,4,4,0.00,234.23,0.00
104.24.13.35,4,4,0.00,234.39,0.00
104.25.53.69,4,4,0.00,234.83,0.00
172.66.155.130,4,4,0.00,234.86,0.00
104.24.17.180,4,4,0.00,235.06,0.00
104.23.107.238,4,4,0.00,235.13,0.00
172.65.131.195,4,4,0.00,235.25,0.00
104.27.90.235,4,4,0.00,236.03,0.00
104.23.103.105,4,4,0.00,236.07,0.00
104.25.3.21,4,4,0.00,236.11,0.00
104.25.145.172,4,4,0.00,236.37,0.00
172.64.238.8,4,4,0.00,237.06,0.00
104.25.54.24,4,4,0.00,237.33,0.00
104.23.143.115,4,4,0.00,237.43,0.00
104.24.242.210,4,4,0.00,237.64,0.00
172.65.118.42,4,4,0.00,237.65,0.00
104.25.67.200,4,4,0.00,238.20,0.00
104.25.21.10,4,4,0.00,238.76,0.00
104.25.51.36,4,4,0.00,238.90,0.00
172.67.76.193,4,4,0.00,240.15,0.00
104.27.9.123,4,4,0.00,241.65,0.00
104.25.30.81,4,4,0.00,241.74,0.00
172.67.111.78,4,4,0.00,241.81,0.00
104.27.100.237,4,4,0.00,241.99,0.00
104.27.33.68,4,4,0.00,242.18,0.00
104.25.87.189,4,4,0.00,242.47,0.00
172.65.74.226,4,4,0.00,242.78,0.00
104.27.56.2,4,4,0.00,243.67,0.00
104.25.74.17,4,4,0.00,244.25,0.00
172.67.97.105,4,4,0.00,244.41,0.00
172.65.171.240,4,4,0.00,244.62,0.00
104.27.76.48,4,4,0.00,245.56,0.00
104.25.106.249,4,4,0.00,246.54,0.00
104.24.11.101,4,4,0.00,247.52,0.00
172.67.10.143,4,4,0.00,247.83,0.00
172.65.185.251,4,4,0.00,247.95,0.00
104.27.19.69,4,4,0.00,248.07,0.00
104.27.43.14,4,4,0.00,248.50,0.00
172.67.13.187,4,4,0.00,248.71,0.00
172.65.130.196,4,4,0.00,249.10,0.00
104.27.194.141,4,4,0.00,249.16,0.00
172.64.233.10,4,4,0.00,258.47,0.00
172.64.157.2,4,4,0.00,271.75,0.00
172.64.76.40,4,4,0.00,289.98,0.00
172.65.226.181,4,4,0.00,297.51,0.00
172.65.200.169,4,4,0.00,311.02,0.00
172.64.38.198,4,4,0.00,340.98,0.00
172.64.159.175,4,4,0.00,354.24,0.00
172.64.53.84,4,4,0.00,379.61,0.00
172.64.41.252,4,4,0.00,383.54,0.00
172.64.42.186,4,4,0.00,391.62,0.00
172.65.192.150,4,4,0.00,392.19,0.00
172.65.195.178,4,4,0.00,427.26,0.00
172.64.149.252,4,4,0.00,447.07,0.00
172.66.44.114,4,4,0.00,449.23,0.00
172.65.229.134,4,4,0.00,449.63,0.00
172.65.203.92,4,4,0.00,451.78,0.00
172.65.222.113,4,4,0.00,453.86,0.00
172.64.33.157,4,4,0.00,465.56,0.00
172.65.196.178,4,4,0.00,471.34,0.00
172.65.230.18,4,4,0.00,471.73,0.00
172.64.49.77,4,4,0.00,473.38,0.00
172.64.50.47,4,4,0.00,479.35,0.00
172.66.3.200,4,4,0.00,479.95,0.00
172.64.94.160,4,4,0.00,481.64,0.00
172.64.85.193,4,4,0.00,482.83,0.00
172.65.207.26,4,4,0.00,488.33,0.00
172.65.220.110,4,4,0.00,491.09,0.00
172.65.223.215,4,4,0.00,492.05,0.00
172.64.37.46,4,4,0.00,497.24,0.00
172.64.93.60,4,4,0.00,505.65,0.00
172.64.34.224,4,4,0.00,509.61,0.00
172.64.84.78,4,4,0.00,521.53,0.00
172.65.202.54,4,4,0.00,541.74,0.00
172.65.211.115,4,4,0.00,545.71,0.00
172.65.218.71,4,4,0.00,546.95,0.00
172.64.80.148,4,4,0.00,549.66,0.00
172.64.83.146,4,4,0.00,551.58,0.00
172.66.45.149,4,4,0.00,560.54,0.00
172.65.197.219,4,4,0.00,561.70,0.00
172.66.43.167,4,4,0.00,568.09,0.00
172.64.87.226,4,4,0.00,593.27,0.00
172.64.32.18,4,4,0.00,593.91,0.00
172.65.193.91,4,4,0.00,593.97,0.00
172.65.221.128,4,4,0.00,607.36,0.00
104.31.16.38,4,4,0.00,607.67,0.00
172.65.247.246,4,4,0.00,619.62,0.00
172.65.210.154,4,4,0.00,625.47,0.00
172.65.199.32,4,4,0.00,633.22,0.00
172.65.248.246,4,4,0.00,642.71,0.00
172.64.145.10,4,4,0.00,650.15,0.00
172.64.91.148,4,4,0.00,653.10,0.00
172.64.148.59,4,4,0.00,657.70,0.00
172.66.41.219,4,4,0.00,665.54,0.00
172.66.42.101,4,4,0.00,694.99,0.00
172.64.81.114,4,4,0.00,698.94,0.00
172.64.46.82,4,4,0.00,707.17,0.00
172.64.155.124,4,4,0.00,708.87,0.00
172.64.89.164,4,4,0.00,720.40,0.00
172.65.205.147,4,4,0.00,758.38,0.00
172.64.47.59,4,4,0.00,759.20,0.00
172.65.232.111,4,4,0.00,763.51,0.00
172.66.40.253,4,4,0.00,772.62,0.00
172.64.90.242,4,4,0.00,836.22,0.00
172.64.152.48,4,4,0.00,895.45,0.00
172.65.204.168,4,4,0.00,907.53,0.00
172.64.109.179,4,3,0.25,155.77,0.00
172.64.110.179,4,3,0.25,156.07,0.00
172.64.140.185,4,3,0.25,158.38,0.00
172.64.97.100,4,3,0.25,159.14,0.00
172.67.19.204,4,3,0.25,159.44,0.00
172.67.39.27,4,3,0.25,160.85,0.00
172.64.153.223,4,3,0.25,161.25,0.00
172.64.139.216,4,3,0.25,162.21,0.00
172.65.92.24,4,3,0.25,162.36,0.00
172.67.31.2,4,3,0.25,162.52,0.00
172.67.25.214,4,3,0.25,162.95,0.00
104.21.236.210,4,3,0.25,164.60,0.00
172.65.83.127,4,3,0.25,164.60,0.00
104.21.231.167,4,3,0.25,164.69,0.00
172.64.162.89,4,3,0.25,166.73,0.00
104.21.225.227,4,3,0.25,167.76,0.00
104.21.229.73,4,3,0.25,168.74,0.00
104.21.226.167,4,3,0.25,170.29,0.00
172.64.142.246,4,3,0.25,170.55,0.00
172.64.96.207,4,3,0.25,178.64,0.00
172.67.41.157,4,3,0.25,184.87,0.00
172.67.225.177,4,3,0.25,192.81,0.00
104.21.89.185,4,3,0.25,193.59,0.00
104.21.26.31,4,3,0.25,197.48,0.00
104.21.109.89,4,3,0.25,198.02,0.00
104.21.118.9,4,3,0.25,198.04,0.00
104.21.103.4,4,3,0.25,198.37,0.00
104.21.120.202,4,3,0.25,198.62,0.00
172.67.187.197,4,3,0.25,198.81,0.00
104.21.93.148,4,3,0.25,199.50,0.00
104.21.91.52,4,3,0.25,200.05,0.00
172.67.206.156,4,3,0.25,200.50,0.00
104.21.21.144,4,3,0.25,200.95,0.00
172.67.227.206,4,3,0.25,201.31,0.00
172.65.60.224,4,3,0.25,201.50,0.00
172.67.184.135,4,3,0.25,203.08,0.00
104.21.206.102,4,3,0.25,203.24,0.00
104.21.126.108,4,3,0.25,203.73,0.00
104.21.200.123,4,3,0.25,203.90,0.00
104.21.96.242,4,3,0.25,204.44,0.00
172.67.186.126,4,3,0.25,204.74,0.00
172.67.158.131,4,3,0.25,205.11,0.00
172.67.150.71,4,3,0.25,205.16,0.00
172.67.255.76,4,3,0.25,205.24,0.00
104.21.106.253,4,3,0.25,205.40,0.00
104.21.219.49,4,3,0.25,205.53,0.00
172.65.9.216,4,3,0.25,205.81,0.00
104.21.202.17,4,3,0.25,205.83,0.00
172.67.142.226,4,3,0.25,205.93,0.00
172.67.207.238,4,3,0.25,205.96,0.00
104.21.198.117,4,3,0.25,206.44,0.00
104.21.121.125,4,3,0.25,206.59,0.00
172.67.180.230,4,3,0.25,206.84,0.00
172.67.235.212,4,3,0.25,206.86,0.00
172.67.136.78,4,3,0.25,206.99,0.00
104.21.195.131,4,3,0.25,207.13,0.00
172.65.0.210,4,3,0.25,207.28,0.00
172.65.8.66,4,3,0.25,207.94,0.00
104.21.112.47,4,3,0.25,207.95,0.00
172.67.190.79,4,3,0.25,208.02,0.00
104.21.122.152,4,3,0.25,208.02,0.00
172.67.168.241,4,3,0.25,208.27,0.00
172.65.37.147,4,3,0.25,208.48,0.00
172.67.216.44,4,3,0.25,209.16,0.00
172.67.248.128,4,3,0.25,209.28,0.00
104.21.222.152,4,3,0.25,209.39,0.00
104.21.100.50,4,3,0.25,209.40,0.00
172.67.192.246,4,3,0.25,209.41,0.00
104.21.99.92,4,3,0.25,209.65,0.00
172.65.44.251,4,3,0.25,209.83,0.00
172.67.223.125,4,3,0.25,210.23,0.00
172.67.215.221,4,3,0.25,210.26,0.00
172.65.46.92,4,3,0.25,210.32,0.00
172.67.208.42,4,3,0.25,210.36,0.00
104.21.114.40,4,3,0.25,210.55,0.00
172.67.221.40,4,3,0.25,210.55,0.00
172.67.212.167,4,3,0.25,210.65,0.00
172.65.53.103,4,3,0.25,210.80,0.00
172.67.188.132,4,3,0.25,211.13,0.00
